Player,Year,player_efficiency,WS/48,OBPM,2P,BPM,FT,MP,G,PTS,DBPM,2PA,PER
Rex Walters,5.0,5.785662055335967,0.046000000000000006,-2.5,23.0,-3.2000000000000006,19.0,506.0,33.0,101.0,-0.6999999999999998,57.0,6.900000000000002
Rex Walters,6.0,5.785662055335967,0.045999999999999985,-2.5,23.0,-3.2,19.0,506.0,33.0,101.0,-0.7000000000000001,57.0,6.9
Rex Walters,7.0,7.486131105398457,0.033999999999999975,-3.5,33.0,-5.800000000000009,12.0,389.0,33.0,93.0,-2.4000000000000035,71.0,8.0
Tom Hammonds,0.0,10.468372434017594,0.03800000000000002,-4.099999999999997,155.0,-5.900000000000004,57.0,1023.0,70.0,367.0,-1.7999999999999987,332.0,9.600000000000003
Tom Hammonds,1.0,12.326542682926837,0.02700000000000001,-3.600000000000001,195.0,-5.1000000000000005,50.0,984.0,37.0,440.0,-1.5,399.0,11.2
Tom Hammonds,2.0,10.783109396914446,0.0506666666666667,-3.9333333333333282,70.0,-4.999999999999992,25.33333333333333,475.33333333333326,36.0,165.33333333333334,-1.0666666666666655,146.66666666666666,9.499999999999991
Tom Hammonds,3.0,13.038834663626002,0.118,-2.200000000000001,115.0,-2.5999999999999983,71.0,877.0,74.0,301.0,-0.4000000000000001,230.0,12.399999999999993
Tom Hammonds,4.0,14.848496861924682,0.12899999999999998,-1.7000000000000008,139.0,-3.5,132.0,956.0,70.0,410.0,-1.7000000000000008,259.0,14.699999999999996
Tom Hammonds,5.0,11.418351196172244,0.081,-3.0,127.0,-4.4,88.0,1045.0,71.0,342.0,-1.3999999999999997,268.0,11.199999999999998
Tom Hammonds,6.0,10.297063708759953,0.04600000000000001,-2.799999999999999,191.0,-3.8,124.0,1758.0,81.0,506.0,-1.0,396.0,10.099999999999996
Tom Hammonds,7.0,12.40514035087719,0.102,-1.3,127.0,-2.4,92.0,1140.0,57.0,346.0,-1.1,245.0,12.1
Tom Hammonds,8.0,9.875000000000004,0.060999999999999964,-4.400000000000002,42.0,-6.5,33.0,372.0,56.0,117.0,-2.1000000000000005,97.0,9.9
Tom Hammonds,9.0,-4.881933333333332,-0.187,-10.2,3.0,-14.5,1.0,30.0,7.0,7.0,-4.3,10.0,-4.9
Derek Harper,0.0,20.284159083014934,0.127,4.1,483.0,2.8,286.0,2879.0,77.0,1519.0,-1.3,980.0,19.4
Derek Harper,1.0,17.45255772646537,0.075,2.2,390.0,0.7,198.0,2252.0,65.0,1152.0,-1.5,825.0,16.7
Derek Harper,2.0,17.447456356736254,0.062,2.6,292.0,-0.9,239.0,2108.0,62.0,1126.0,-3.5,682.0,15.9
Derek Harper,3.0,12.644670145190569,0.07666666666666667,-0.966666666666667,153.33333333333334,-1.4999999999999998,74.66666666666667,1469.333333333333,54.66666666666666,527.3333333333334,-0.5666666666666669,360.66666666666674,12.06666666666667
Derek Harper,4.0,13.147400957290133,0.113,0.4,231.0,-0.4,139.0,2716.0,80.0,919.0,-0.8,464.0,12.6
Derek Harper,5.0,13.99289595575527,0.105,0.8,315.0,0.7,156.0,2893.0,82.0,1149.0,-0.2,614.0,13.9
Derek Harper,6.0,12.491195475113125,0.05800000000000001,-0.5,239.0,-2.200000000000001,95.0,2210.0,75.0,753.0,-1.600000000000001,498.0,12.89999999999999
Derek Harper,7.0,10.654044293015328,0.06299999999999999,-0.5,167.0,-1.8000000000000005,55.0,1761.0,66.0,566.0,-1.3000000000000005,378.0,11.5
Derek Harper,8.0,11.884849999999995,0.0860000000000002,0.7999999999999996,77.0,-1.4000000000000041,26.0,1120.0,45.0,309.0,-2.3000000000000083,174.0,12.799999999999995
Aaron Williams,0.0,6.690319444444442,-0.0670000000000001,-11.799999999999981,8.0,-14.700000000000026,8.0,72.0,15.0,24.0,-2.9000000000000017,23.0,7.0
Aaron Williams,1.0,16.406111900532853,-0.02633333333333334,-6.999999999999999,56.66666666666666,-6.866666666666666,22.0,375.33333333333326,22.0,135.33333333333334,0.1333333333333333,98.0,17.3
Aaron Williams,2.0,13.305203434610302,0.1050000000000002,-3.4000000000000044,115.0,-3.8000000000000047,66.0,757.0,65.0,296.0,-0.5,219.0,13.399999999999983
Aaron Williams,3.0,14.345567685589518,0.11000000000000004,-2.2,52.0,-1.8000000000000005,54.0,458.0,40.0,158.0,0.4,122.0,15.199999999999998
Aaron Williams,4.0,17.411891262135924,0.15000000000000022,0.30000000000000043,235.0,1.5,146.0,1545.0,81.0,616.0,1.2000000000000015,447.0,17.700000000000024
Aaron Williams,5.0,14.424433219178082,0.10700000000000008,-1.5,297.0,-0.5,244.0,2336.0,82.0,838.0,0.8999999999999995,648.0,15.100000000000007
Aaron Williams,6.0,15.376774256144893,0.15399999999999994,-1.3000000000000005,231.0,0.1,130.0,1546.0,82.0,592.0,1.3000000000000005,437.0,15.2
Aaron Williams,7.0,11.740673763306205,0.10999999999999996,-2.2999999999999985,199.0,-1.0,102.0,1597.0,81.0,500.0,1.2999999999999998,438.0,11.899999999999995
Aaron Williams,8.0,12.948763649962599,0.122,-2.4,171.0,-0.9,105.0,1337.0,72.0,450.0,1.6,339.0,13.2
Aaron Williams,9.0,5.911257142857144,0.04000000000000002,-5.7,19.33333333333333,-5.933333333333334,10.0,210.0,28.0,48.66666666666666,-0.2333333333333333,42.0,6.033333333333332
Aaron Williams,10.0,10.833788874841966,0.0823333333333334,-2.6,60.66666666666666,-2.633333333333334,26.66666666666667,527.3333333333334,32.0,148.0,-2.158766992326693e-17,117.33333333333331,10.333333333333325
Aaron Williams,11.0,9.255614973262034,0.08899999999999998,-3.599999999999997,29.0,-3.2,18.0,374.0,38.0,76.0,0.4,52.0,9.399999999999991
Aaron Williams,12.0,10.61440404040404,0.07200000000000001,-4.7,27.0,-2.3,14.0,297.0,30.0,68.0,2.4,55.0,10.3
Francisco Elson,0.0,11.187811428571427,0.097,-2.600000000000001,94.0,-1.0,30.0,875.0,62.0,218.0,1.7,198.0,11.199999999999996
Francisco Elson,1.0,11.015226837060704,0.08099999999999999,-3.600000000000001,100.0,-1.6999999999999995,45.0,939.0,67.0,248.0,1.8000000000000005,213.0,10.699999999999998
Francisco Elson,2.0,10.254151361621275,0.08699999999999998,-2.5,150.0,-0.6,49.0,1579.0,72.0,352.0,1.9,279.0,10.1
Francisco Elson,3.0,10.90491066066066,0.11100000000000024,-3.6999999999999917,144.0,-0.29999999999999993,62.0,1332.0,70.0,350.0,3.3999999999999932,280.0,11.200000000000026
Francisco Elson,4.0,6.968658056580568,-0.0143333333333333,-7.366666666666688,61.33333333333334,-6.866666666666678,17.333333333333332,542.0,42.0,140.0,0.5000000000000032,156.66666666666666,6.400000000000047
