year,round,favorite,underdog,favorite_probability,favorite_win_flag
2014,3,San Diego State,North Dakota State,0.646,true
2012,3,Xavier,Lehigh,0.647,true
2014,2,Oregon,Brigham Young,0.647,true
2014,3,Villanova,Connecticut,0.649,false
2013,2,Marquette,Davidson,0.655,true
2011,4,Wisconsin,Butler,0.657,false
2011,2,Wisconsin,Belmont,0.658,true
2012,2,Kansas State,Southern Miss,0.658,true
2012,2,Memphis,Saint Louis,0.659,false
2013,5,Ohio State,Wichita State,0.659,false
2011,2,Gonzaga,St. John's,0.664,true
2011,2,Michigan State,UCLA,0.667,false
2011,2,Arizona,Memphis,0.668,true
2012,4,Baylor,Xavier,0.669,true
2013,2,North Carolina,Villanova,0.670,true
2013,5,Louisville,Duke,0.670,true
2013,2,UNLV,California,0.672,false
2012,2,Murray State,Colorado State,0.673,true
2014,2,Connecticut,St. Joseph's,0.673,true
2012,2,New Mexico,Long Beach State,0.679,true
2014,2,North Carolina,Providence,0.680,true
2012,3,Marquette,Murray State,0.680,true
2011,5,Florida,Butler,0.680,false
2011,3,Texas,Arizona,0.682,false
2011,3,Richmond,Morehead State,0.682,true
2012,2,UNLV,Colorado,0.684,false
2013,3,Michigan State,Memphis,0.692,true
2011,4,San Diego State,Connecticut,0.696,false
2011,3,North Carolina,Washington,0.699,true
2013,2,North Carolina State,Temple,0.701,false
2014,2,Baylor,Nebraska,0.703,true
2011,3,Notre Dame,Florida State,0.704,false
2011,4,North Carolina,Marquette,0.704,true
2014,2,Tennessee,Massachusetts,0.705,true
2011,2,Georgetown,Virginia Commonwealth,0.706,false
2013,3,San Diego State,Florida Gulf Coast,0.707,false
2012,3,Indiana,Virginia Commonwealth,0.709,true
2014,3,Virginia,Memphis,0.710,true
2013,2,Virginia Commonwealth,Akron,0.711,true
2013,3,Duke,Creighton,0.711,true
2012,2,Indiana,New Mexico State,0.713,true
2013,4,Wichita State,La Salle,0.714,true
2012,2,Michigan,Ohio,0.715,false
2012,3,Syracuse,Kansas State,0.716,true
2013,2,Arizona,Belmont,0.717,true
2011,3,Syracuse,Marquette,0.717,false
2012,3,Michigan State,Saint Louis,0.717,true
2014,2,Pittsburgh,Colorado,0.724,true
2013,3,Miami (FL),Illinois,0.726,true
2014,3,Arizona,Gonzaga,0.727,true
2014,2,Kentucky,Kansas State,0.739,true
2012,2,Wichita State,Virginia Commonwealth,0.742,false
2012,6,Kentucky,Louisville,0.744,true
2014,2,San Diego State,New Mexico State,0.745,true
2013,3,Gonzaga,Wichita State,0.747,false
2013,5,Syracuse,Marquette,0.750,true
2013,3,Syracuse,California,0.750,true
2012,2,Marquette,Brigham Young,0.751,true
2012,2,Vanderbilt,Harvard,0.752,true
2014,2,Ohio State,Dayton,0.753,false
2013,2,Wisconsin,Mississippi,0.756,false
2013,2,Saint Louis,New Mexico State,0.762,true
2014,3,Florida,Pittsburgh,0.762,true
2014,2,Virginia Commonwealth,Stephen F. Austin,0.764,false
2011,3,Kansas,Illinois,0.765,true
2012,2,Louisville,Davidson,0.767,true
2012,5,Kentucky,Baylor,0.769,true
2012,3,Baylor,Colorado,0.771,false
2014,3,Wisconsin,Oregon,0.772,true
2014,3,Michigan State,Harvard,0.772,true
2014,3,Syracuse,Dayton,0.773,false
2013,3,Kansas,North Carolina,0.778,true
2013,2,Kansas State,La Salle,0.782,false
2011,3,Pittsburgh,Butler,0.786,false
2012,3,Kansas,Purdue,0.786,true
2014,3,Michigan,Texas,0.787,true
2014,3,Kansas,Stanford,0.787,false
2011,4,Ohio State,Kentucky,0.788,false
2012,2,Baylor,South Dakota State,0.792,true
2012,4,Ohio State,Cincinnati,0.793,true
2012,4,Kentucky,Indiana,0.795,true
2011,4,Duke,Arizona,0.800,false
2011,2,Louisville,Morehead State,0.805,false
2014,3,Tennessee,Mercer,0.811,true
2014,2,Iowa State,North Carolina Central,0.812,true
2013,3,Florida,Minnesota,0.813,true
2011,3,San Diego State,Temple,0.813,true
2011,2,Connecticut,Bucknell,0.814,true
2013,3,Ohio State,Iowa State,0.816,true
2012,4,Kansas,North Carolina State,0.819,true
2011,3,Florida,UCLA,0.822,true
2014,3,Louisville,Saint Louis,0.822,true
2013,2,Michigan State,Valparaiso,0.830,true
2011,3,Purdue,Virginia Commonwealth,0.835,false
2011,2,Texas,Oakland,0.845,true
2013,6,Louisville,Wichita State,0.846,true
2012,3,Ohio State,Gonzaga,0.848,true
2011,4,Kansas,Richmond,0.852,true
2013,3,Arizona,Harvard,0.853,true
2012,2,Wisconsin,Montana,0.854,true
2012,3,North Carolina,Creighton,0.855,true
2011,2,Brigham Young,Wofford,0.856,true
2012,4,North Carolina,Ohio,0.862,true
2014,2,UCLA,Tulsa,0.871,true
2011,5,Kansas,Virginia Commonwealth,0.873,false
2013,2,Syracuse,Montana,0.874,true
2013,2,New Mexico,Harvard,0.874,false
2014,3,UCLA,Stephen F. Austin,0.878,true
2011,2,Kentucky,Princeton,0.882,true
2012,2,Florida State,St. Bonaventure,0.882,true
2014,2,Syracuse,Western Michigan,0.883,true
2014,2,Creighton,Louisiana-Lafayette,0.883,true
2012,2,Syracuse,North Carolina Asheville,0.893,true
2012,3,Kentucky,Iowa State,0.895,true
2012,2,Duke,Lehigh,0.896,false
2011,2,Syracuse,Indiana State,0.896,true
2011,3,Ohio State,George Mason,0.896,true
2013,2,Georgetown,Florida Gulf Coast,0.897,false
2013,2,Miami (FL),Pacific,0.899,true
2013,3,Louisville,Colorado State,0.901,true
2013,2,Michigan,South Dakota State,0.902,true
2011,2,Notre Dame,Akron,0.906,true
2014,2,Michigan State,Delaware,0.912,true
2013,3,Indiana,Temple,0.919,true
2012,3,Florida,Norfolk State,0.921,true
2011,2,Purdue,St. Peter's,0.922,true
2014,2,Kansas,Eastern Kentucky,0.924,true
2011,3,Duke,Michigan,0.925,true
2014,2,Wisconsin,American University,0.928,true
2014,2,Duke,Mercer,0.929,false
2014,2,Louisville,Manhattan,0.931,true
2011,2,North Carolina,Long Island,0.933,true
2011,2,San Diego State,Northern Colorado,0.935,true
2012,2,North Carolina,Vermont,0.936,true
2013,2,Ohio State,Iona,0.938,true
2013,4,Florida,Florida Gulf Coast,0.942,true
2013,2,Duke,Albany,0.946,true
2012,2,Kansas,Detroit,0.946,true
2014,2,Villanova,Milwaukee,0.947,true
2013,4,Louisville,Oregon,0.947,true
2013,2,Florida,Northwestern State,0.948,true
2012,2,Michigan State,Long Island,0.949,true
2011,2,Florida,UC-Santa Barbara,0.950,true
2014,2,Michigan,Wofford,0.954,true
2014,2,Virginia,Coastal Carolina,0.964,true
2012,2,Ohio State,Loyola (MD),0.964,true
2011,2,Pittsburgh,North Carolina Asheville,0.967,true
2012,2,Missouri,Norfolk State,0.972,false
2014,2,Wichita State,Cal Poly,0.975,true
2014,2,Arizona,Weber State,0.978,true
2013,2,Gonzaga,Southern University,0.982,true
2013,2,Kansas,Western Kentucky,0.982,true
2013,2,Indiana,James Madison,0.983,true
2014,2,Florida,Albany,0.988,true
2011,2,Kansas,Boston University,0.990,true
2012,2,Kentucky,Western Kentucky,0.991,true
2013,2,Louisville,North Carolina A&T,0.995,true
2011,2,Duke,Hampton,0.995,true
2011,2,Ohio State,UTSA,0.997,true
