"playerID","year","stint","tmID","lgID","GP","GS","minutes","points","oRebounds","dRebounds","rebounds","assists","steals","blocks","turnovers","PF","fgAttempted","fgMade","ftAttempted","ftMade","threeAttempted","threeMade","PostGP","PostGS","PostMinutes","PostPoints","PostoRebounds","PostdRebounds","PostRebounds","PostAssists","PostSteals","PostBlocks","PostTurnovers","PostPF","PostfgAttempted","PostfgMade","PostftAttempted","PostftMade","PostthreeAttempted","PostthreeMade","note"
"buckngr01","2000","1","DAL","NBA","37","0","820","229","60","97","157","49","33","9","27","118","192","84","81","59","7","2","5","0","75","30","8","13","21","3","5","0","2","12","23","11","10","7","3","1",
"buechju01","2000","1","DET","NBA","57","0","737","193","20","74","94","39","21","10","25","83","164","76","12","9","77","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"buforro01","2000","1","PHI","NBA","47","0","573","248","16","58","74","17","17","6","29","68","241","104","29","24","38","16","15","0","72","21","5","7","12","3","4","1","4","15","24","8","2","2","6","3",
"bullama01","2000","1","HOU","NBA","61","0","1000","354","22","108","130","42","10","9","12","76","305","129","14","10","213","86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"burresc01","2000","1","CHH","NBA","4","0","41","17","1","2","3","1","3","0","0","8","15","7","4","1","6","2","2","0","12","5","0","3","3","1","2","0","0","0","3","2","2","1","1","0",
"caffeja01","2000","1","MIL","NBA","70","0","1460","500","135","218","353","53","38","25","77","184","367","179","211","142","0","0","18","0","297","68","31","43","74","14","3","5","15","44","63","24","31","20","0","0",
"cambyma01","2000","1","NYK","NBA","63","0","2127","759","196","527","723","52","66","136","63","205","580","304","225","150","8","1","4","0","141","25","4","28","32","7","2","9","2","18","26","10","13","5","0","0",
"campbel01","2000","1","CHH","NBA","78","0","2337","1022","157","451","608","104","60","140","144","280","834","367","406","288","6","0","10","0","287","121","27","52","79","7","5","11","17","37","106","42","49","37","0","0",
"cardibr01","2000","1","DET","NBA","15","0","126","31","8","15","23","3","7","2","9","27","31","10","18","11","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"carrch01","2000","1","BOS","NBA","35","0","309","169","11","33","44","11","4","3","19","45","112","53","60","46","37","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"cartean01","2000","1","MIA","NBA","72","0","1630","461","46","134","180","268","73","10","119","154","480","195","103","65","40","6","3","0","69","18","0","6","6","11","2","1","10","9","19","9","0","0","1","0",
"cartevi01","2000","1","TOR","NBA","75","0","2979","2070","176","240","416","291","114","82","167","205","1656","762","502","384","397","162","12","0","539","327","37","41","78","56","20","20","27","45","280","122","74","58","61","25",
"cassesa01","2000","1","MIL","NBA","76","0","2709","1381","46","244","290","580","88","8","220","214","1132","537","323","277","98","30","18","0","682","314","12","71","83","120","19","3","52","76","278","110","97","84","30","10",
"catoke01","2000","1","HOU","NBA","35","0","624","165","47","94","141","11","13","31","25","89","111","64","57","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"causwdu01","2000","1","MIA","NBA","31","0","384","76","23","60","83","5","8","18","23","67","85","32","25","12","0","0","1","0","5","0","0","3","3","0","0","0","0","1","1","0","0","0","0","0",
"cebalce01","2000","1","DET","NBA","13","0","166","75","7","19","26","7","6","3","9","19","71","28","10","8","40","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"cebalce01","2000","2","MIA","NBA","27","0","393","186","27","53","80","13","10","4","23","42","158","73","33","29","33","11","3","0","15","5","3","3","6","1","0","0","1","3","7","2","2","1","0","0",
"cheanca01","2000","1","DEN","NBA","9","0","153","21","5","15","20","9","4","2","5","14","30","10","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"childch01","2000","1","NYK","NBA","51","0","1309","245","14","124","138","236","37","7","98","160","222","93","46","39","64","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"childch01","2000","2","TOR","NBA","26","0","550","117","10","54","64","119","22","8","58","82","113","42","25","21","42","12","12","0","380","109","2","36","38","78","12","3","35","48","90","37","23","20","36","15",
"chrisdo01","2000","1","SAC","NBA","81","0","2939","996","95","260","355","289","183","45","154","224","788","311","312","280","250","94","8","0","304","79","7","28","35","26","20","9","19","31","68","25","29","24","17","5",
"clarkke01","2000","1","DEN","NBA","35","0","752","227","58","128","186","34","16","44","48","101","199","82","105","63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"clarkke01","2000","2","TOR","NBA","46","0","968","413","78","170","248","38","16","110","42","143","320","167","135","79","1","0","11","0","103","35","7","16","23","6","2","3","4","16","30","11","20","13","0","0",
"cleavma01","2000","1","DET","NBA","78","0","1268","422","26","106","132","207","49","1","139","153","400","160","137","97","17","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"cokerjo01","2000","1","GSW","NBA","6","0","32","2","3","2","5","2","1","0","2","4","8","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"colemde01","2000","1","CHH","NBA","34","0","683","277","46","138","184","39","10","21","42","53","255","97","92","63","51","20","5","0","88","27","9","16","25","6","4","2","5","12","34","9","9","7","8","2",
"colesbi01","2000","1","CLE","NBA","47","0","804","232","9","39","48","138","27","6","59","87","239","91","56","48","16","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"collija02","2000","1","HOU","NBA","23","0","222","71","12","25","37","6","2","3","11","27","71","27","24","17","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"colsose01","2000","1","ATL","NBA","3","0","14","0","0","3","3","3","0","0","2","0","5","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"colsose01","2000","2","HOU","NBA","10","0","30","15","2","1","3","7","1","0","0","6","19","6","4","2","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"corbity01","2000","1","TOR","NBA","15","0","117","20","3","10","13","4","2","0","3","18","38","9","4","2","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"crawfch01","2000","1","ATL","NBA","47","0","901","318","28","82","110","37","21","16","62","117","270","122","83","68","22","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"crawfja01","2000","1","CHI","NBA","61","0","1050","282","9","80","89","141","43","14","85","68","304","107","34","27","117","41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"croshau01","2000","1","IND","NBA","81","0","1874","822","123","264","387","92","36","50","136","180","701","276","231","200","207","70","4","0","129","43","5","15","20","6","4","2","9","15","35","14","15","13","10","2",
"crottjo01","2000","1","UTA","NBA","31","0","264","65","13","15","28","34","6","0","19","32","65","22","19","17","7","4","4","0","19","3","1","2","3","3","1","1","0","3","3","0","3","3","0","0",
"cummivo01","2000","1","GSW","NBA","66","0","1495","483","47","90","137","227","67","14","91","160","517","178","116","79","143","48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"curlebi01","2000","1","DAL","NBA","5","0","15","3","0","0","0","0","1","1","2","4","4","1","4","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"curlebi01","2000","2","GSW","NBA","15","0","177","60","21","16","37","3","6","8","14","41","43","24","15","11","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"curryde01","2000","1","TOR","NBA","71","0","956","429","16","69","85","75","27","8","39","66","382","162","51","43","145","62","12","0","182","78","2","12","14","10","6","1","11","10","64","27","12","10","37","14",
"currymi01","2000","1","DET","NBA","68","0","1485","356","21","100","121","132","27","3","61","173","319","145","73","62","9","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"dampier01","2000","1","GSW","NBA","43","0","1038","319","97","153","250","59","17","58","82","123","314","126","126","67","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
