player,position,current_team,college
"Mickey, Jordan",Power Forward,Boston Celtics,LSU
"Millsap, Paul",Power Forward,Atlanta Hawks,Louisiana Tech
"Mirotic, Nikola",Power Forward,Chicago Bulls,No College
"Morris, Marcus",Power Forward,Detroit Pistons,Kansas
"Morris, Markieff",Power Forward,Washington Wizards,Kansas
"Motiejunas, Donatas",Power Forward,New Orleans Pelicans,No College
"Muscala, Mike",Power Forward,Atlanta Hawks,Bucknell
"Nance Jr., Larry",Power Forward,Los Angeles Lakers,Wyoming
"Nicholson, Andrew",Power Forward,Washington Wizards,St. Bonaventure
"Noel, Nerlens",Power Forward,Philadelphia 76ers,Kentucky
"Nowitzki, Dirk",Power Forward,Dallas Mavericks,No College
"Ochefu, Daniel",Power Forward,Washington Wizards,Villanova
"Onuaku, Chinanu",Power Forward,Houston Rockets,Louisville
"Parker, Jabari",Power Forward,Milwaukee Bucks,Duke
"Patterson, Patrick",Power Forward,Toronto Raptors,Kentucky
"Payne, Adreian",Power Forward,Minnesota Timberwolves,Michigan State
"Portis, Bobby",Power Forward,Chicago Bulls,Arkansas
"Porzingis, Kristaps",Power Forward,New York Knicks,No College
"Powell, Dwight",Power Forward,Dallas Mavericks,Stanford
"Randle, Julius",Power Forward,Los Angeles Lakers,Kentucky
"Randolph, Zach",Power Forward,Memphis Grizzlies,Michigan State
"Reed, Willie",Power Forward,Miami Heat,Saint Louis
"Robinson, Thomas",Power Forward,Los Angeles Lakers,Kansas
"Sabonis, Domantas",Power Forward,Oklahoma City Thunder,Gonzaga
"Saric, Dario",Power Forward,Philadelphia 76ers,No College
"Scola, Luis",Power Forward,Brooklyn Nets,No College
"Scott, Mike",Power Forward,Atlanta Hawks,Virginia
"Siakam, Pascal",Power Forward,Toronto Raptors,New Mexico State
"Smith, Jason",Power Forward,Washington Wizards,Colorado State
"Teletovic, Mirza",Power Forward,Milwaukee Bucks,No College
"Tolliver, Anthony",Power Forward,Sacramento Kings,Creighton
"Vonleh, Noah",Power Forward,Portland Trail Blazers,Indiana
"West, David",Power Forward,Golden State Warriors,Xavier
"Williams, Alan",Power Forward,Phoenix Suns,UC Santa Barbara
"Williams, Derrick",Power Forward,Miami Heat,Arizona
"Williams, Marvin",Power Forward,Charlotte Hornets,North Carolina
"Wiltjer, Kyle",Power Forward,Houston Rockets,Gonzaga
"Wood, Christian",Power Forward,Charlotte Hornets,UNLV
"Wright, Brandan",Power Forward,Memphis Grizzlies,North Carolina
"Young, Thaddeus",Power Forward,Indiana Pacers,Georgia Tech
"Adams, Steven",Center,Oklahoma City Thunder,Pittsburgh
"Ajinca, Alexis",Center,New Orleans Pelicans,No College
