objectid,shape_leng,shape_area,gis_id,featurecod,descriptio,capturedat,captureyea,captureact
103,79.119610602831514,262.431246476397291,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
104,80.723108935610597,235.139581000389768,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
105,27.337538340340551,46.122000008508564,,3110,Basketball Court,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
106,196.730178145334520,2208.026837029726721,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
107,57.382642161580712,194.464412445950870,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
108,90.044922569314764,503.754460039601611,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
109,55.907715430747771,188.129523009885162,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
110,78.001843986710668,129.167089995117720,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
111,87.489704589946854,425.775788949261312,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
112,64.121789187692158,263.730667021767601,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
113,28.649388719560886,46.362657514351163,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
114,107.329591578675860,583.980884942041484,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
115,41.035553681913591,95.648389026040647,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
116,24.757000052038890,38.147939475488243,,3110,Basketball Court,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
117,90.818921267290023,488.097385548078364,,3110,Basketball Court,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
118,128.046741257217491,469.156896461908502,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
119,94.931963741251067,538.544363049173626,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
120,49.720018737414868,90.242958015230144,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
121,403.915839659107405,10210.977564405764497,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
122,47.450390163919316,126.422095063420684,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
123,42.350307543029516,107.818696017863687,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
124,382.908943109313213,4559.414911004177156,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
125,107.191737877284481,630.196836945402765,,3110,Basketball Court,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
126,96.299868126545988,608.363729483132602,,3130,Baseball Field,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
127,29.072522088115363,49.694588494066686,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
128,104.371568127817795,671.292050972026800,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
